,filter_name,filter_lambda,flux_mag
0,jwst_f070w,7007.055867945637,496521927406.1967
1,jwst_f090w,8980.66989792655,726636393460.3088
2,jwst_f115w,11487.921989837463,876707029298.7183
3,jwst_f150w,14942.712065514852,1032210639918.2313
4,jwst_f200w,19791.73740159774,955113762252.8981
5,jwst_f277w,27466.897016576448,597576930359.9238
6,jwst_f356w,35515.21807474216,499328028942.5707
7,jwst_f444w,43808.614153313494,325364150153.7738
8,herschel_pacs_70,700164.25,11956824784995.887
9,herschel_pacs_100,996011.3125,25665001276941.016
10,herschel_pacs_160,1585786.875,34184746532395.508
11,herschel_spire_250,2461257.0,22009563371380.438
12,herschel_spire_350,3455033.25,10753107831522.59
13,herschel_spire_500,4931467.0,4204083011409.4927
